,Unnamed: 0,nm_uf,nm_micro,lng,lat
0,0,SAO PAULO,ADAMANTINA,-50.99768781607828,-21.70611473940861
1,1,ESPÍRITO SANTO,AFONSO CLAUDIO,-41.01838994928553,-20.19187815087436
2,2,MARANHÃO,AGLOMERACAO URBANA DE SAO LUIS,-44.14298203247793,-2.5629617573238668
3,3,SERGIPE,AGRESTE DE ITABAIANA,-37.41197593358597,-10.729138137645409
4,4,SERGIPE,AGRESTE DE LAGARTO,-37.68078625214717,-10.921735796206072
5,5,RIO GRANDE DO NORTE,AGRESTE POTIGUAR,-35.524439646971814,-6.136423406304423
6,6,MINAS GERAIS,AIMORES,-41.391151970113405,-19.511658726758267
7,7,ALAGOAS,ALAGOANA DO SERTAO DO SAO FRANCISCO,-37.998016480780734,-9.418735378579342
8,8,BAHIA,ALAGOINHAS,-38.253999925338654,-11.724403938639282
9,9,ESPÍRITO SANTO,ALEGRE,-41.5969595804502,-20.53017388511807
10,10,MINAS GERAIS,ALFENAS,-46.00784558847805,-21.34966658201505
11,11,PARÁ,ALMEIRIM,-52.49224670090286,-1.2251024048519694
12,12,MINAS GERAIS,ALMENARA,-40.60618891243917,-16.311645404508386
13,13,MATO GROSSO,ALTA FLORESTA,-56.96586183040271,-9.774641798073844
14,14,PARÁ,ALTAMIRA,-52.49422268813639,-4.070938607249647
15,15,MATO GROSSO,ALTO ARAGUAIA,-53.39510816285252,-17.5184258036914
16,16,PERNAMBUCO,ALTO CAPIBARIBE,-35.90886167800218,-7.876306530142252
17,17,MATO GROSSO,ALTO GUAPORE,-59.55736246130354,-14.993017712240071
18,18,MARANHÃO,ALTO MEARIM E GRAJAU,-45.51764792948111,-5.4887000403335655
19,19,PIAUÍ,ALTO MEDIO CANINDE,-41.55980806487418,-7.815643362807225
20,20,PIAUÍ,ALTO MEDIO GURGUEIA,-44.472975491741295,-9.083010882244292
21,21,MATO GROSSO,ALTO PANTANAL,-57.37217416137955,-15.988587776499429
22,22,MATO GROSSO,ALTO PARAGUAI,-56.86608924916112,-14.5623048554338
23,23,PIAUÍ,ALTO PARNAIBA PIAUIENSE,-44.94678412921941,-7.928681873453157
24,24,AMAZONAS,ALTO SOLIMOES,-69.50476774588213,-4.146678463425239
25,25,MATO GROSSO DO SUL,ALTO TAQUARI,-54.38423227221485,-18.822780067946816
26,26,MATO GROSSO,ALTO TELES PIRES,-55.690353205339534,-13.168559237206487
27,27,RONDÔNIA,ALVORADA D'OESTE,-62.61056796228133,-11.631033067411213
28,28,AMAPA,AMAPA,-50.790252374081795,1.5852083692362118
29,29,SAO PAULO,AMPARO,-46.71315529406982,-22.692736488746082
30,30,SAO PAULO,ANDRADINA,-51.30802845113502,-20.858937483458554
31,31,MINAS GERAIS,ANDRELANDIA,-44.422148195316716,-22.000467903117237
32,32,RIO GRANDE DO NORTE,ANGICOS,-36.34925115610911,-5.514447059623501
33,33,GOIÁS,ANICUNS,-50.185147753750115,-16.421817306076413
34,34,GOIÁS,ANAPOLIS,-49.4194625532179,-16.11463085941124
35,35,PARANÁ,APUCARANA,-51.43460499785852,-23.64537868721461
36,36,MATO GROSSO DO SUL,AQUIDAUANA,-55.9808439841416,-20.321653181498405
37,37,SERGIPE,ARACAJU,-37.13527078740679,-10.92415656192975
38,38,GOIÁS,ARAGARCAS,-51.79091960943476,-16.090465379420404
39,39,TOCANTINS,ARAGUAINA,-48.51745459446023,-7.13428313879438
40,40,ALAGOAS,ARAPIRACA,-36.67343124649643,-9.794703382318056
41,41,SANTA CATARINA,ARARANGUA,-49.661695509833315,-29.022839176379705
42,42,SAO PAULO,ARARAQUARA,-48.67231248188738,-21.68010000550743
43,43,PARÁ,ARARI,-48.90667748403182,-0.9226300723362848
44,44,PERNAMBUCO,ARARIPINA,-40.172397424749505,-7.78731429348817
45,45,MINAS GERAIS,ARAXA,-47.08486052526994,-19.59098244850446
46,46,SAO PAULO,ARACATUBA,-50.54065079922788,-21.0956290254096
47,47,MINAS GERAIS,ARACUAI,-41.85025415564553,-16.99395841808157
48,48,MATO GROSSO,ARINOS,-57.3634873840693,-11.473717502638351
49,49,MATO GROSSO,ARIPUANA,-59.3738280364271,-10.71894142464516
50,50,RONDÔNIA,ARIQUEMES,-62.62938199075021,-9.742220546250909
51,51,PARANÁ,ASSAI,-50.83956029448464,-23.458390703790087
52,52,SAO PAULO,ASSIS,-50.55498237699333,-22.644070530230657
53,53,PARANÁ,ASTORGA,-51.89123315254043,-23.0067025884948
54,54,SAO PAULO,AURIFLAMA,-50.3572387146778,-20.68655257542289
55,55,SAO PAULO,AVARE,-49.00800890266082,-23.20990019823745
56,56,RIO DE JANEIRO,BACIA DE SAO JOAO,-42.14382375063096,-22.51061549527964
57,57,RIO GRANDE DO NORTE,BAIXA VERDE,-35.892754269798466,-5.471275480412989
58,58,MARANHÃO,BAIXADA MARANHENSE,-45.08745706048823,-3.2086873356073413
59,59,SERGIPE,BAIXO COTINGUIBA,-37.08144687312085,-10.726767053803872
60,60,CEARÁ,BAIXO CURU,-39.095335266961776,-3.489556953970516
61,61,CEARÁ,BAIXO JAGUARIBE,-38.150131326968506,-5.0646307714604415
62,62,MATO GROSSO DO SUL,BAIXO PANTANAL,-57.61386773951522,-19.529247118955453
63,63,MARANHÃO,BAIXO PARNAIBA MARANHENSE,-42.27753424764121,-3.181955764033503
64,64,PIAUÍ,BAIXO PARNAIBA PIAUIENSE,-42.295534879360474,-3.966482518406148
65,65,SAO PAULO,BANANAL,-44.5934760133887,-22.67227610049138
66,66,MINAS GERAIS,BARBACENA,-43.72846469258168,-21.158087019605247
67,67,BAHIA,BARRA,-42.95041757637151,-11.211010414515753
68,68,ESPÍRITO SANTO,BARRA DE SAO FRANCISCO,-40.89448964555388,-18.533155447600766
69,69,RIO DE JANEIRO,BARRA DO PIRAI,-43.74104433327158,-22.26585925330668
70,70,BAHIA,BARREIRAS,-45.055367690949495,-12.089328833724473
71,71,SAO PAULO,BARRETOS,-48.61516190974029,-20.53765113661667
72,72,CEARÁ,BARRO,-38.784678855026826,-7.191278512064615
73,73,ALAGOAS,BATALHA,-37.1669021376449,-9.656204099776636
74,74,SAO PAULO,BATATAIS,-47.33674509085376,-21.142893746538167
